[rosmaster.master][INFO] 2022-02-09 16:44:16,997: +PUB [/diagnostics] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,342: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,392: +PUB [/sensor_state] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,393: publisherUpdate[/sensor_state] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']
[rosmaster.master][INFO] 2022-02-09 16:44:19,404: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,416: publisherUpdate[/sensor_state] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:19,421: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,449: +PUB [/firmware_version] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,459: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,494: publisherUpdate[/firmware_version] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']
[rosmaster.master][INFO] 2022-02-09 16:44:19,510: publisherUpdate[/firmware_version] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:19,956: +PUB [/imu] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,972: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,984: +PUB [/cmd_vel_rc100] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,995: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,995: publisherUpdate[/imu] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']
[rosmaster.master][INFO] 2022-02-09 16:44:20,013: publisherUpdate[/imu] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:20,366: +PUB [/odom] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:20,382: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:20,398: +PUB [/joint_states] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:20,408: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:20,436: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:20,452: +PUB [/magnetic_field] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:20,467: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,210: +PUB [/tf] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:22,223: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,255: +SUB [/cmd_vel] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:22,265: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,274: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,300: +SUB [/sound] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:22,314: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,338: +SUB [/motor_power] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:22,348: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,371: +SUB [/reset] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:22,381: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,518: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,543: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,562: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,697: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,729: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,747: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,766: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,777: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:22,801: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,285: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,310: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,319: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,389: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,403: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,501: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,520: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,642: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,666: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,723: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,745: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,794: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,812: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,859: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:25,877: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
